19990520,7,9,3,8,2,9
20011181,6,8,4,1,2,1
20011197,6,1,5,9,1,7
20011271,9,0,3,6,3,1
20011281,8,10,10,7,8,10
20020910,7,6,4,6,6,5
20021201,4,1,1,1,3,10
20021248,5,1,8,1,3,9
20021391,9,4,9,5,6,1
20026083,10,10,7,5,4,7
20026578,4,4,1,1,1,1
20030214,5,10,0,1,0,7
20030260,2,7,8,5,1,0
20030430,1,1,0,3,5,5
20035078,1,1,1,1,2,1
20040088,7,1,6,1,2,6
20040322,9,7,6,9,4,9
20040426,7,7,9,6,6,1
20040447,7,6,9,4,1,1
20050279,1,7,7,0,0,3
20050280,9,6,10,7,1,1
20060135,8,6,10,5,4,2
20060298,10,10,10,10,6,7
20060579,8,10,8,0,5,3
20070142,6,7,1,7,5,1
20080144,5,8,9,4,6,4
20080470,8,9,6,10,5,8
20080553,10,10,10,10,5,7
20100117,8,5,8,8,1,8
20100415,0,9,5,6,3,1
20100628,4,0,9,8,9,5
20100754,10,10,5,10,3,10
20100769,10,5,8,8,4,9
20100823,1,4,8,6,1,1
20110431,4,6,7,4,2,4
20110482,10,2,10,10,4,10
20110540,6,1,7,1,9,4
20110717,7,6,4,9,9,7
20120322,6,7,9,6,9,7
20120558,6,0,0,0,1,0
20130249,8,10,9,9,6,7
20130455,5,10,1,7,4,6
20000231,5,5,2,0,4,0
20011060,7,10,10,7,4,4
20011374,10,6,10,5,8,1
20011486,10,4,7,4,2,6
20021137,8,4,0,3,1,1
20030118,2,1,4,1,0,1
20030516,8,1,1,5,1,4
20040420,0,0,6,0,0,0
20040516,6,8,9,5,1,1
20060036,1,2,0,0,7,8
20060133,10,5,6,8,4,1
20060320,10,9,7,4,5,7
20060402,4,1,1,0,4,1
20060503,9,10,4,9,4,0
20060581,5,5,2,7,1,1
20060585,10,10,10,5,5,8
20062330,4,4,7,4,7,0
20070215,6,3,1,7,1,0
20070370,4,4,7,9,3,0
20070488,4,2,0,5,2,0
20070511,7,0,1,4,2,1
